"AÑO","MES","LÍNEA FONDER","TIPO DE PERSONA","TAMAÑO DE EMPRESA","SECTOR ECONÓMICO","MUNICIPIO","DESTINO","MONTO OTORGADO ($)","PLAZO","GENERO DEL SOLICITANTE","SITUACIÓN DEL SOLICITANTE","DESCENDENCIA DEL SOLICITANTE"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Buenaventura","Inversión","5,200,000","36","Hombre","Desplazado por conflicto armado","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Cali","Capital de trabajo","5,000,000","36","Hombre","Ninguno","Afrodescendiente"
"2,024","9","1","Persona Juridica","Microempresa","Comercio","Palmira","Capital de trabajo","5,100,000","36","Hombre","Ninguno","Otros"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Buenaventura","Capital de trabajo","4,500,000","36","Mujer","Ninguno","Mestizo"
"2,024","9","1","Persona Juridica","Microempresa","Comercio","Cali","Capital de trabajo","3,000,000","36","Hombre","Otros","Otros"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Cali","Capital de trabajo","4,000,000","36","Mujer","Ninguno","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Palmira","Capital de trabajo","5,200,000","36","Mujer","Ninguno","Otros"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Cali","Inversión","4,000,000","36","Hombre","Ninguno","Caucásico"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Cali","Capital de trabajo","5,200,000","36","Hombre","Ninguno","Otros"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Cali","Capital de trabajo","2,000,000","36","Hombre","Ninguno","Otros"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Cali","Capital de trabajo","5,000,000","36","Hombre","Otros","Indigena"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Cali","Capital de trabajo","3,500,000","36","Hombre","Padre cabeza de hogar","Indigena"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Buenaventura","Capital de trabajo","5,200,000","36","Mujer","Desplazado por conflicto armado","Afrodescendiente"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Buenaventura","Capital de trabajo","5,200,000","36","Mujer","Madre cabeza de hogar","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Cali","Inversión","5,200,000","36","Hombre","Ninguno","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Cali","Capital de trabajo","5,200,000","36","Hombre","Padre cabeza de hogar","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Cali","Capital de trabajo","4,000,000","32","Mujer","Desplazado por conflicto armado","Otros"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Cali","Capital de trabajo","3,500,000","36","Mujer","Ninguno","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Buenaventura","Capital de trabajo","3,000,000","36","Hombre","Personas con necesidades especiales","Afrodescendiente"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Buenaventura","Capital de trabajo","5,200,000","36","Mujer","Desplazado por conflicto armado","Afrodescendiente"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Palmira","Inversión","5,200,000","24","Hombre","Personas con necesidades especiales","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Jamundí","Capital de trabajo","5,200,000","35","Mujer","Ninguno","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Jamundí","Capital de trabajo","5,200,000","35","Mujer","Ninguno","Otros"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Buenaventura","Capital de trabajo","5,200,000","24","Mujer","Desplazado por conflicto armado","Afrodescendiente"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Cali","Capital de trabajo","3,000,000","12","Hombre","Otros","Afrodescendiente"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Palmira","Capital de trabajo","3,500,000","36","Hombre","Padre cabeza de hogar","Mestizo"
"2,024","9","1","Persona Juridica","Microempresa","Comercio","Cali","Capital de trabajo","4,000,000","36","Hombre","Padre cabeza de hogar","Caucásico"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Roldanillo","Capital de trabajo","5,200,000","35","Mujer","Madre cabeza de hogar","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Cali","Inversión","1,000,000","12","Hombre","Padre cabeza de hogar","Afrodescendiente"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Dagua","Inversión","5,200,000","35","Hombre","Padre cabeza de hogar","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Jamundí","Capital de trabajo","5,200,000","36","Mujer","Ninguno","Otros"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Cali","Capital de trabajo","500,000","12","Hombre","Ninguno","Otros"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Candelaria","Capital de trabajo","5,200,000","35","Mujer","Otros","Otros"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Cali","Capital de trabajo","5,000,000","24","Hombre","Ninguno","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Cali","Inversión","5,000,000","36","Mujer","Ninguno","Mestizo"
"2,024","9","1","Persona Juridica","Microempresa","Comercio","Cali","Capital de trabajo","5,200,000","20","Mujer","Otros","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Cali","Capital de trabajo","1,000,000","20","Hombre","Otros","Afrodescendiente"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Cali","Inversión","4,500,000","36","Mujer","Otros","Mulato"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Cali","Capital de trabajo","4,000,000","36","Mujer","Ninguno","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Cali","Capital de trabajo","500,000","24","Mujer","Otros","Otros"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Buenaventura","Capital de trabajo","4,500,000","36","Mujer","Desplazado por conflicto armado","Afrodescendiente"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Cali","Capital de trabajo","4,000,000","12","Hombre","Ninguno","Otros"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Buenaventura","Capital de trabajo","3,500,000","36","Mujer","Madre cabeza de hogar","Afrodescendiente"
